BoxID,Processor,Weight
0,1,993562975
1,0,993953483
2,11,992725678
3,8,997519523
4,65,993982588
5,64,996837072
6,72,995567277
7,73,995344564
8,2,989868304
9,5,994901411
10,9,996988019
11,15,989758788
12,66,993018941
13,67,992018178
14,74,993606890
15,75,991480355
16,16,995095226
17,18,991720898
18,25,994014502
19,26,991421617
20,81,995609379
21,83,994760239
22,89,993887286
23,91,992026508
24,19,991686844
25,21,993938846
26,24,996110268
27,28,994840041
28,80,996390567
29,82,995418916
30,90,992190651
31,88,993962451
32,131,991579132
33,129,995567402
34,139,988755693
35,137,994273662
36,194,992440890
37,192,994150916
38,202,991325427
39,200,995429921
40,130,993698630
41,134,993681788
42,138,993160290
43,140,995771156
44,193,992772909
45,195,989962861
46,203,990871489
47,201,992977731
48,146,989630087
49,147,987911351
50,155,991639732
51,154,991780626
52,209,993577018
53,210,993102816
54,216,996114719
55,218,994224982
56,145,993114045
57,150,995184016
58,153,993192174
59,156,998328476
60,211,992022539
61,208,994899096
62,217,995005793
63,223,992219874
64,6,994133738
65,7,990727589
66,13,991443222
67,12,991516957
68,70,990494450
69,68,996732560
70,77,990686793
71,78,988468440
72,4,997665470
73,10,993961405
74,14,990786830
75,17,994086127
76,69,991570125
77,71,990358642
78,79,988289359
79,76,995379457
80,23,990581663
81,22,992676172
82,31,991173020
83,29,992963456
84,87,988472151
85,86,993524898
86,95,991184076
87,92,994076991
88,20,994209211
89,27,991192047
90,30,992721008
91,35,991939892
92,84,996466715
93,85,994760752
94,94,992020260
95,93,992309023
96,133,995316498
97,135,992358008
98,141,995041375
99,143,992903306
100,196,996486949
101,198,993322130
102,204,995526272
103,207,989965587
104,132,995420260
105,136,994934461
106,142,993980215
107,144,994191558
108,199,992745570
109,197,993809748
110,205,994882239
111,206,990912075
112,151,992431463
113,149,996031457
114,158,988872241
115,157,992255002
116,215,990910223
117,212,995298891
118,220,996572596
119,222,996291107
120,148,996363705
121,152,994360540
122,159,986899961
123,160,992969106
124,214,991966584
125,213,993332774
126,221,996511429
127,227,993458681
128,32,996504938
129,33,995504746
130,41,993751682
131,40,995924181
132,99,991587830
133,98,992210736
134,107,991645946
135,105,994588746
136,34,993168650
137,36,997032910
138,43,988219931
139,45,991625128
140,96,994833868
141,97,994176338
142,104,994641707
143,106,992407424
144,48,994473869
145,49,992951495
146,59,992821418
147,58,992907460
148,113,993758756
149,114,993319292
150,123,990433123
151,122,991911614
152,51,990181294
153,54,992711693
154,56,987673889
155,56,991055311
156,115,990850589
157,117,993474324
158,121,995627429
159,120,996413038
160,161,992707810
161,163,987447067
162,170,993122194
163,171,992436390
164,225,994422484
165,226,994281548
166,232,995292265
167,235,991195616
168,162,991002925
169,164,996116451
170,169,994292310
171,174,992602666
172,224,994536508
173,229,994070679
174,233,993510169
175,238,994246929
176,178,992906053
177,179,992011477
178,184,994470550
179,187,991560494
180,241,993714822
181,242,993137683
182,250,989901444
183,249,993075132
184,177,993045334
185,180,989136015
186,185,993687476
187,186,992326095
188,243,991167454
189,246,991036101
190,251,985976003
191,252,995741648
192,39,993653144
193,37,995467497
194,47,990653503
195,46,991371420
196,103,990510501
197,102,991384844
198,109,992376073
199,108,994575247
200,38,994362284
201,42,993313470
202,44,992281796
203,50,990351364
204,101,994163953
205,100,994287737
206,110,992103268
207,112,997347250
208,53,993032205
209,52,995270318
210,62,990922980
211,60,993506847
212,118,993382027
213,116,990812148
214,124,995262862
215,126,992385858
216,55,991192117
217,57,992921911
218,63,990380997
219,61,991116290
220,116,990934729
221,119,991096841
222,125,993514822
223,128,996123237
224,167,990250994
225,165,995082425
226,173,994626798
227,175,991979189
228,228,996826640
229,231,990226240
230,237,995746483
231,236,999196211
232,166,994073579
233,168,994593133
234,172,995453736
235,176,994043285
236,230,992153565
237,234,991688787
238,239,990640979
239,240,995188782
240,182,991405254
241,181,997771145
242,190,993541557
243,191,988944431
244,247,989952132
245,244,993988457
246,255,989738315
247,253,995475182
248,180,988906410
249,183,990282995
250,188,994149705
251,189,993871927
252,245,992014489
253,248,998224783
254,254,991978299
255,259,992072954
256,257,993960006
257,256,997817039
258,267,991014889
259,266,994732453
260,320,994285097
261,323,989668105
262,331,991076867
263,329,995616345
264,258,993692588
265,263,991719639
266,265,994967007
267,271,989834012
268,321,992847636
269,325,991161777
270,330,994302228
271,334,993571925
272,274,990423117
273,275,990409261
274,280,999366310
275,281,994134983
276,336,994118308
277,337,990964121
278,344,996842573
279,347,991000327
280,273,993309834
281,279,989807745
282,282,990286639
283,285,994938708
284,338,989890290
285,343,989610208
286,345,994160869
287,350,992664272
288,386,991269278
289,385,993336639
290,393,992467810
291,392,993507907
292,449,995778846
293,450,990905922
294,457,992450616
295,456,994523923
296,384,993422017
297,389,994917080
298,394,990844564
299,399,991219269
300,448,996968915
301,453,993733176
302,458,992277914
303,462,989856044
304,400,997322725
305,402,993249417
306,409,994410861
307,411,991287172
308,467,992414417
309,466,992805900
310,474,990865629
311,473,991080560
312,403,990923468
313,405,993329924
314,408,995077167
315,414,991506543
316,465,992929054
317,471,992290072
318,472,996900461
319,475,990065618
320,262,992522044
321,260,994722144
322,270,993051263
323,268,996342304
324,324,994464416
325,326,990929808
326,335,991509863
327,332,995687056
328,261,994236501
329,264,997234234
330,269,993792466
331,272,996131961
332,327,989685759
333,328,996866970
334,333,994256394
335,339,987469857
336,278,991727901
337,276,994211934
338,287,991346299
339,286,994118448
340,342,992334750
341,341,992466829
342,351,991845318
343,348,994823272
344,277,994157313
345,283,989101228
346,284,995392894
347,290,991144342
348,340,993285847
349,346,991981660
350,349,992953491
351,353,992784477
352,388,994931523
353,390,994594418
354,398,993401019
355,396,996554247
356,455,992133287
357,454,992741421
358,463,989701702
359,461,992105289
360,391,990569521
361,395,990416534
362,397,994379659
363,401,993681291
364,452,998090482
365,459,991908508
366,460,993632382
367,464,994553629
368,406,991197595
369,404,993938848
370,413,993468299
371,412,994626276
372,468,990447049
373,470,994762454
374,477,994112486
375,476,994310750
376,407,990602096
377,410,992390544
378,415,989699318
379,419,991463896
380,468,988367472
381,469,996999165
382,478,993371073
383,480,997602499
384,289,993980628
385,291,989126186
386,296,999357454
387,297,997683090
388,352,993666633
389,355,991100685
390,363,988096734
391,360,995212947
392,288,994709281
393,292,993503150
394,298,994331451
395,301,992944079
396,354,992284819
397,357,993671974
398,361,993014279
399,367,993925807
400,304,997243893
401,306,990882066
402,315,987325182
403,314,990508106
404,368,998599600
405,369,993988271
406,379,989216195
407,376,998125382
408,307,990243468
409,309,992721901
410,312,997202752
411,318,993638270
412,370,991278246
413,372,995227135
414,377,995119035
415,380,997730884
416,418,993519224
417,416,1000000001
418,424,996065106
419,427,991210390
420,482,991509680
421,483,990611154
422,490,993305242
423,491,989553025
424,417,994631477
425,420,992495276
426,426,992024523
427,431,990741715
428,481,992731728
429,485,994554923
430,489,993595736
431,494,991896952
432,432,993037200
433,435,986626326
434,440,988844088
435,441,994220421
436,498,993417278
437,497,994186890
438,504,994868054
439,505,994272644
440,434,989929937
441,439,990745912
442,440,991576415
443,442,992553340
444,499,991075485
445,501,995262876
446,507,990217519
447,506,994025829
448,294,992154845
449,293,992738079
450,300,996349042
451,303,991420288
452,358,992258715
453,359,991956316
454,364,995937928
455,366,994586622
456,295,991143804
457,299,993547982
458,302,992844443
459,305,993940866
460,356,994429065
461,362,988824779
462,365,995038679
463,371,990010446
464,311,988901767
465,308,994190424
466,316,995117691
467,317,993921099
468,375,990020332
469,374,993360052
470,383,988302030
471,381,991975108
472,310,992551090
473,313,993023566
474,319,991537243
475,322,990053934
476,373,995179884
477,378,994842419
478,382,989295975
479,387,990990915
480,422,991384810
481,421,991739132
482,429,992453606
483,428,993806311
484,486,991460343
485,487,991167040
486,492,994269388
487,495,991554132
488,423,989539851
489,425,995335675
490,430,991232523
491,433,991406827
492,484,994947696
493,488,997201747
494,493,993616031
495,496,995237803
496,436,995180599
497,438,991488427
498,446,993085079
499,444,994073954
500,500,988237335
501,500,992412046
502,510,994615653
503,511,987655934
504,437,994848155
505,443,991699045
506,445,993504480
507,447,991227131
508,503,992721545
509,502,994428705
510,508,995994571
511,509,994715240
